arc_type,rel_pin,rel_pin_dir,constr_pin_dir,probe_pattern,num_rules,num_cell_patterns,template
removal,CPN,fall,fall,contains_QN|len_1,1,1,hold/template__latch__fall__fall__glitch__minq__1.sp
removal,CPN,fall,fall,contains_QN|len_2,1,1,hold/template__latch__fall__fall__glitch__minq__2.sp
removal,E,fall,fall,contains_Q|len_2,1,1,hold/template__latch__fall__fall__glitch__minq_maxq__2.sp
removal,E,fall,fall,contains_Q|len_1,1,1,hold/template__latch__fall__fall__glitch__minq_maxq__1.sp
removal,E,fall,fall,contains_QN|len_1,1,1,hold/template__latch__fall__fall__glitch__minq__1.sp
removal,E,fall,fall,contains_QN|len_2,1,1,hold/template__latch__fall__fall__glitch__minq__2.sp
removal,CPN,fall,rise,contains_Q|len_2,1,1,hold/template__latch__fall__rise__glitch__minq__2.sp
removal,CPN,fall,rise,contains_QN|len_2,1,1,hold/template__latch__fall__rise__glitch__maxq__2.sp
removal,CP,rise,fall,contains_Q_bl_bx|len_2,1,1,hold/template__latch__rise__fall__glitch__maxq__minbl_bx__2.sp
removal,CP,rise,rise,contains_Q_bl_bx|len_2,1,1,hold/template__latch__rise__rise__glitch__minq__maxbl_bx__2.sp
removal,CP,fall,rise,contains_Q_bl_bx|len_2,1,1,hold/template__retn__removal__fall__rise__glitch__minq__maxbl_bx__2.sp
removal,CP,rise,fall,contains_Q_sl_ax|len_2,1,1,hold/template__latch__rise__fall__glitch__maxq__minsl_ax__2.sp
removal,CP,rise,fall,contains_Q_sl_bx|len_2,1,1,hold/template__latch__rise__fall__glitch__maxq__minsl_bx__2.sp
removal,CP,rise,fall,contains_Q_bl_b|len_2,1,1,hold/template__latch__rise__fall__glitch__maxq__maxbl_b__2.sp
removal,CP,rise,rise,contains_Q_sl_ax|len_2,1,1,hold/template__latch__rise__rise__glitch__minq__maxsl_ax__2.sp
removal,CP,fall,rise,contains_Q_sl_ax|len_2,1,1,hold/template__retn__removal__fall__rise__glitch__minq__maxsl_ax__2.sp
removal,CP,rise,fall,contains_Q|len_1,1,1,hold/template__latch__rise__fall__glitch__maxq__1.sp
removal,CP,rise,fall,contains_QN|len_1,1,1,hold/template__latch__rise__fall__glitch__minq__1.sp
removal,CP,rise,fall,contains_QN|len_2,1,1,hold/template__latch__rise__fall__glitch__minq__2.sp
removal,CP,rise,rise,contains_Q|len_2,1,1,hold/template__latch__rise__rise__glitch__minq__2.sp
removal,CP,rise,rise,contains_QN|len_2,1,1,hold/template__latch__rise__rise__glitch__maxq__2.sp
unknown,[],null,fall,len_1,1,1,min_pulse_width/template__sync1p5__q1__CP__fall__rise__1.sp
unknown,[],null,rise,len_1,1,1,min_pulse_width/template__sync1p5__q1__CPN__rise__fall__1.sp
min_pulse_width,WWL,null,rise,none,1,1,min_pulse_width/template__WWL__rise__fall__1.sp
min_pulse_width,WWL0,null,rise,none,1,1,min_pulse_width/template__WWL0__rise__fall__1.sp
min_pulse_width,WWL1,null,rise,none,1,1,min_pulse_width/template__WWL1__rise__fall__1.sp
min_pulse_width,WWL_N,null,fall,none,1,1,min_pulse_width/template__WWLN__fall__rise__1.sp
min_pulse_width,WWL0_N,null,fall,none,1,1,min_pulse_width/template__WWL0N__fall__rise__1.sp
min_pulse_width,WWL1_N,null,fall,none,1,1,min_pulse_width/template__WWL1N__fall__rise__1.sp
min_pulse_width,I0,null,fall,none,1,1,min_pulse_width/template__I0__fall__rise__1.sp
min_pulse_width,I0,null,rise,none,1,1,min_pulse_width/template__I0__rise__fall__1.sp
min_pulse_width,CPN,null,fall,none,1,1,min_pulse_width/template__CPN__fall__rise__1.sp
min_pulse_width,CPN,null,rise,none,1,1,min_pulse_width/template__CPN__rise__fall__1.sp
min_pulse_width,EN,null,fall,none,1,1,min_pulse_width/template__EN__fall__rise__1.sp
min_pulse_width,E,null,rise,none,1,1,min_pulse_width/template__E__rise__rise__1.sp
setup,CP,rise,rise,len_1,1,1,setup/template__common__rise__rise__1.sp
setup,CP,rise,rise,len_2,1,1,setup/template__common__rise__rise__2.sp
setup,CP,rise,fall,len_1,1,1,setup/template__common__rise__fall__1.sp
setup,CP,rise,fall,len_2,1,1,setup/template__common__rise__fall__2.sp
setup,CPN,fall,rise,none,1,1,setup/template__common__fall__rise__1.sp
setup,CPN,fall,fall,none,1,1,setup/template__common__fall__fall__1.sp
setup,E,fall,rise,none,1,1,setup/template__common__LH__fall__rise__1.sp
setup,E,fall,fall,none,1,1,setup/template__common__LH__fall__fall__1.sp
setup,EN,rise,rise,none,1,1,setup/template__common__LN__rise__rise__1.sp
